Blue,Green,Red,Distance,Light,Color,ColorDetect,ColorNum
76.66,8.55,14.79,15,0,Blue,Yes,1
79.86,7.28,12.87,15,0,Blue,Yes,1
91.05,2.58,6.36,15,0,Blue,Yes,1
91.13,2.6,6.28,18,0,Blue,Yes,1
90.94,2.54,6.52,18,0,Blue,Yes,1
90.94,2.53,6.53,18,0,Blue,Yes,1
90.85,2.56,6.59,18,0,Blue,Yes,1
90.93,2.57,6.49,18,0,Blue,Yes,1
90.76,2.58,6.65,18,0,Blue,Yes,1
90.76,2.6,6.64,18,0,Blue,Yes,1
91.05,2.6,6.35,18,0,Blue,Yes,1
90.97,2.63,6.4,18,0,Blue,Yes,1
82.59,3.86,13.54,18,0,Blue,Yes,1
82.53,3.84,13.63,21,0,Blue,Yes,1
82.34,3.92,13.74,21,0,Blue,Yes,1
82.36,3.88,13.76,21,0,Blue,Yes,1
82.92,3.8,13.28,21,0,Blue,Yes,1
82.95,3.75,13.31,21,0,Blue,Yes,1
82.81,3.68,13.51,21,0,Blue,Yes,1
82.64,4,13.36,21,0,Blue,Yes,1
82.14,4.34,13.52,21,0,Blue,Yes,1
82.23,4.17,13.6,21,0,Blue,Yes,1
74.82,7.54,17.64,21,0,Blue,Yes,1
80.94,5.31,13.75,24,0,Blue,Yes,1
75.5,7.17,17.33,24,0,Blue,Yes,1
75.86,7.08,17.06,24,0,Blue,Yes,1
75.68,7.18,17.14,24,0,Blue,Yes,1
76.04,6.96,16.99,24,0,Blue,Yes,1
75.52,7.54,16.94,24,0,Blue,Yes,1
75.89,7.02,17.09,24,0,Blue,Yes,1
75.42,7.67,16.91,24,0,Blue,Yes,1
76.15,6.97,16.87,24,0,Blue,Yes,1
24.77,36.17,39.06,3,1,Red,No,0
24.69,36.24,39.07,3,1,Red,No,0
24.68,36.31,39.01,3,1,Red,No,0
24.62,36.27,39.11,3,1,Red,No,0
24.22,36.35,39.44,3,1,Red,No,0
24.27,36.27,39.46,3,1,Red,No,0
24.27,36.29,39.44,3,1,Red,No,0
24.65,36.26,39.09,3,1,Red,No,0
24.54,36.37,39.09,3,1,Red,No,0
24.63,36.39,38.98,3,1,Red,No,0
26.38,34.81,38.82,6,1,Red,No,0
26.58,34.73,38.69,6,1,Red,No,0
26.74,34.71,38.55,6,1,Red,No,0
26.7,34.75,38.55,6,1,Red,No,0
26.69,34.78,38.53,6,1,Red,No,0
26.63,34.7,38.66,6,1,Red,No,0
26.63,34.72,38.66,6,1,Red,No,0
26.5,34.78,38.71,6,1,Red,No,0
26.38,34.83,38.78,6,1,Red,No,0
26.52,34.79,38.7,6,1,Red,No,0
25.35,34.67,39.98,9,1,Red,No,0
25.36,34.56,40.08,9,1,Red,No,0
25.56,34.63,39.81,9,1,Red,No,0
25.55,34.65,39.8,9,1,Red,No,0
25.5,34.65,39.85,9,1,Red,No,0
25.27,34.64,40.08,9,1,Red,No,0
25.34,34.61,40.04,9,1,Red,No,0
25.33,34.62,40.05,9,1,Red,No,0
25.25,34.63,40.12,9,1,Red,No,0
25.28,34.61,40.11,9,1,Red,No,0
25.99,34.36,39.65,12,1,Red,No,0
26.71,34.04,39.25,12,1,Red,No,0
25.9,34.32,39.78,12,1,Red,No,0
25.86,34.32,39.83,12,1,Red,No,0
25.92,34.31,39.77,12,1,Red,No,0
25.91,34.32,39.77,12,1,Red,No,0
25.9,34.3,39.8,12,1,Red,No,0
25.88,34.29,39.83,12,1,Red,No,0
25.83,34.3,39.87,12,1,Red,No,0
25.75,34.31,39.94,12,1,Red,No,0
26.7,34.03,39.28,15,1,Red,No,0
26.7,34.06,39.24,15,1,Red,No,0
26.65,34.07,39.27,15,1,Red,No,0
26.66,34.05,39.29,15,1,Red,No,0
26.63,34.05,39.32,15,1,Red,No,0
26.62,34.05,39.33,15,1,Red,No,0
26.61,34.05,39.34,15,1,Red,No,0
26.66,34.04,39.3,15,1,Red,No,0
26.6,34.01,39.39,15,1,Red,No,0
